user_id,recipe_id,rating,,,,,,,,,,,,,,,,,,,,,,,,
1,3,5,,,,,,,,,,,,,,,,,,,,,,,,
2,8,5,,,,,,,,,,,,,,,,,,,,,,,,
3,5,5,,,,,,,,,,,,,,,,,,,,,,,,
4,0,4,,,,,,,,,,,,,,,,,,,,,,,,
5,5,3,,,,,,,,,,,,,,,,,,,,,,,,
6,0,5,,,,,,,,,,,,,,,,,,,,,,,,
7,8,5,,,,,,,,,,,,,,,,,,,,,,,,
8,7,5,,,,,,,,,,,,,,,,,,,,,,,,
9,8,5,,,,,,,,,,,,,,,,,,,,,,,,
10,5,5,,,,,,,,,,,,,,,,,,,,,,,,
11,7,5,,,,,,,,,,,,,,,,,,,,,,,,
12,5,5,,,,,,,,,,,,,,,,,,,,,,,,
13,8,5,,,,,,,,,,,,,,,,,,,,,,,,
14,4,4,,,,,,,,,,,,,,,,,,,,,,,,
15,8,5,,,,,,,,,,,,,,,,,,,,,,,,
16,0,5,,,,,,,,,,,,,,,,,,,,,,,,
17,4,5,,,,,,,,,,,,,,,,,,,,,,,,
17,8,3,,,,,,,,,,,,,,,,,,,,,,,,
19,5,5,,,,,,,,,,,,,,,,,,,,,,,,
20,8,5,,,,,,,,,,,,,,,,,,,,,,,,
21,4,5,,,,,,,,,,,,,,,,,,,,,,,,
22,7,5,,,,,,,,,,,,,,,,,,,,,,,,
23,6,4,,,,,,,,,,,,,,,,,,,,,,,,
24,5,5,,,,,,,,,,,,,,,,,,,,,,,,
25,8,5,,,,,,,,,,,,,,,,,,,,,,,,
26,5,5,,,,,,,,,,,,,,,,,,,,,,,,
27,5,4,,,,,,,,,,,,,,,,,,,,,,,,
28,5,5,,,,,,,,,,,,,,,,,,,,,,,,
28,5,5,,,,,,,,,,,,,,,,,,,,,,,,
30,7,5,,,,,,,,,,,,,,,,,,,,,,,,
30,3,5,,,,,,,,,,,,,,,,,,,,,,,,
30,6,2,,,,,,,,,,,,,,,,,,,,,,,,
33,3,4,,,,,,,,,,,,,,,,,,,,,,,,
34,7,5,,,,,,,,,,,,,,,,,,,,,,,,
35,1,5,,,,,,,,,,,,,,,,,,,,,,,,
36,2,3,,,,,,,,,,,,,,,,,,,,,,,,
37,7,5,,,,,,,,,,,,,,,,,,,,,,,,
38,8,5,,,,,,,,,,,,,,,,,,,,,,,,
39,1,5,,,,,,,,,,,,,,,,,,,,,,,,
40,7,5,,,,,,,,,,,,,,,,,,,,,,,,
